"menuaccessid","menucode","menuname","description","menuurl","recordstatus"
36,"hrmcv","capabilityvalue","Capability Value","/capabilityvalue",1
37,"hrfmc","catering","Catering","/catering",1
38,"hrfmca","cateringaddress","Catering Address","/cateringaddress",1
39,"hrfmcc","cateringcontact","Catering Contact","/cateringcontact",1
40,"hrfmcm","cateringmenu","Catering Menu","/cateringmenu",1
41,"hrfmcmt","catmenutype","Catering Menu Type","/catmenutype",1
42,"ccci","city","City","/city",1
43,"sco","company","Company","/company",1
44,"hrpmco","concerning","Concerning","/concerning",1
45,"ccty","contacttype","Contact Type","/contacttype",1
46,"cco","country","Country","/country",1
47,"ccu","currency","Currency","/currency",1
48,"ccur","currencyrate","Currency Rate","/currencyrate",1
49,"scu","customer","Customer","/customer",1
50,"scua","customeraddress","Customer Address","/customeraddress",1
51,"wowos","workorderstatus","Work Order Status","/workorderstatus",1
52,"mms","supplier","Supplier","/supplier",1
53,"souf","userfav","User Favourite","/userfav",1
54,"sddc","distchannel","Distribution Channel","/distchannel",1
55,"sddv","division","Division","/division",1
56,"hrme","education","Education","/education",1
57,"hrmem","educationmajor","Education Major","/educationmajor",1
58,"hee","employee","Employee","/employee",1
59,"heeb","employeebroadcast","Employee Broadcast","/employeebroadcast",1
60,"heee","employeeeducation","Employee Education","/employeeducation",1
61,"heef","employeefamily","Employee Family","/employeefamily",1
62,"heefr","employeeforeignlanguage","Employee Foreign Language","/employeeforeignlanguage",1
63,"heei","employeeinsurance","Employee Insurance","/employeeinsurance",1
64,"heej","employeejamsostek","Employee Jamsostek","/employeejamsostek",1
65,"hfek","employeekey","Employee Key","/employeekey",1
66,"hfem","employeemeal","Employee Meal","/employeemeal",1
67,"htes","employeeschedule","Employee Schedule","/employeeschedule",1
68,"hrmes","employeestatus","Employee Status","/employeestatus",1
69,"hfet","employeetransport","Employee Transport","/employeetransport",1
70,"hrmet","employeetype","Employee Type","/employeetype",1
71,"hpew","employeewage","Employee Wage","/employeewage",1
72,"hrmfr","familyrelation","Family Relation","/familyrelation",1
73,"agj","genjournal","General Journal","/genjournal",1
74,"igi","giheader","Goods Issue","/giheader",1
75,"igr","grheader","Goods Receipt","/grheader",1
76,"hrtmh","hospital","Hospital","/hospital",1
77,"cit","identitytype","Identity Type","/identitytype",1
78,"cin","industry","Industry","/industry",1
79,"cins","insurance","Insurance","/insurance",1
80,"hrtmjr","judgerule","Judge Rule","/judgerule",1
81,"ccssd","kelurahan","Kelurahan","/subdistrict",1
82,"sla","language","Language","/language",1
83,"hmlv","languagevalue","Language Value","/languagevalue",1
84,"hfllb","lockerbox","Locker Box","/lockerbox",1
85,"hfllk","lockerkey","Locker Key","/lockerkey",1
86,"hfllls","lockerstaff","Locker Staff","/lockerstaff",1
87,"hmms","maritalstatus","Marital Status","/maritalstatus",1
88,"pmmg","materialgroup","Material Group","/materialgroup",1
89,"pmmt","materialtype","Material Type","/materialtype",1
90,"hmoc","occupation","Occupation","/occupation",1
91,"hpaolt","onleavetype","Onleave Type","/onleavetype",1
92,"hoos","orgstructure","Organization Structure","/orgstructure",1
93,"sp","parameter","Parameter","/parameter",1
94,"apt","paymentmethod","Payment Method","/paymentmethod",1
95,"hpape","permitexit","Permit Exit","/permitexit",1
96,"hpapi","permitin","Permit In","/permitin",1
97,"cpl","plant","Plant","/plant",1
